foto,version,archivo,descargas
2026-08-22,v0.5.0,mcp_pjud-0.5.0-py3-none-any.whl,0
2026-08-22,v0.5.0,mcp_pjud-0.5.0.tar.gz,0
2026-08-22,v0.5.0,sbom.spdx.json,0
2026-08-22,v0.5.1,mcp_pjud-0.5.1-py3-none-any.whl,0
2026-08-22,v0.5.1,mcp_pjud-0.5.1.tar.gz,0
2026-08-22,v0.5.1,sbom.spdx.json,0
2026-08-22,v0.6.0,mcp_pjud-0.6.0-py3-none-any.whl,0
2026-08-22,v0.6.0,mcp_pjud-0.6.0.tar.gz,0
2026-08-22,v0.6.0,sbom.spdx.json,0
2026-08-22,v0.7.0,mcp_pjud-0.7.0-py3-none-any.whl,0
2026-08-22,v0.7.0,mcp_pjud-0.7.0.tar.gz,0
2026-08-22,v0.7.0,sbom.spdx.json,0
2026-08-22,v0.8.0,mcp_pjud-0.8.0-py3-none-any.whl,0
2026-08-22,v0.8.0,mcp_pjud-0.8.0.tar.gz,0
2026-08-22,v0.8.0,sbom.spdx.json,0
2026-08-23,v0.10.0,mcp_pjud-0.10.0-py3-none-any.whl,0
2026-08-23,v0.10.0,mcp_pjud-0.10.0.tar.gz,0
2026-08-23,v0.10.0,sbom.spdx.json,0
2026-08-23,v0.11.0,mcp_pjud-0.11.0-py3-none-any.whl,0
2026-08-23,v0.11.0,mcp_pjud-0.11.0.tar.gz,0
2026-08-23,v0.11.0,sbom.spdx.json,0
2026-08-23,v0.12.0,mcp_pjud-0.12.0-py3-none-any.whl,0
2026-08-23,v0.12.0,mcp_pjud-0.12.0.tar.gz,0
2026-08-23,v0.12.0,sbom.spdx.json,0
2026-08-23,v0.2.0,mcp_pjud-0.2.0-py3-none-any.whl,0
2026-08-23,v0.2.0,mcp_pjud-0.2.0.tar.gz,0
2026-08-23,v0.2.0,sbom.spdx.json,0
2026-08-23,v0.2.1,mcp_pjud-0.2.1-py3-none-any.whl,0
2026-08-23,v0.2.1,mcp_pjud-0.2.1.tar.gz,0
2026-08-23,v0.2.1,sbom.spdx.json,0
2026-08-23,v0.3.0,mcp_pjud-0.3.0-py3-none-any.whl,0
2026-08-23,v0.3.0,mcp_pjud-0.3.0.tar.gz,0
2026-08-23,v0.3.0,sbom.spdx.json,0
2026-08-23,v0.4.0,mcp_pjud-0.4.0-py3-none-any.whl,0
2026-08-23,v0.4.0,mcp_pjud-0.4.0.tar.gz,0
2026-08-23,v0.4.0,sbom.spdx.json,0
2026-08-23,v0.5.0,mcp_pjud-0.5.0-py3-none-any.whl,0
2026-08-23,v0.5.0,mcp_pjud-0.5.0.tar.gz,0
2026-08-23,v0.5.0,sbom.spdx.json,0
2026-08-23,v0.5.1,mcp_pjud-0.5.1-py3-none-any.whl,0
2026-08-23,v0.5.1,mcp_pjud-0.5.1.tar.gz,0
2026-08-23,v0.5.1,sbom.spdx.json,0
2026-08-23,v0.6.0,mcp_pjud-0.6.0-py3-none-any.whl,0
2026-08-23,v0.6.0,mcp_pjud-0.6.0.tar.gz,0
2026-08-23,v0.6.0,sbom.spdx.json,0
2026-08-23,v0.7.0,mcp_pjud-0.7.0-py3-none-any.whl,0
2026-08-23,v0.7.0,mcp_pjud-0.7.0.tar.gz,0
2026-08-23,v0.7.0,sbom.spdx.json,0
2026-08-23,v0.8.0,mcp_pjud-0.8.0-py3-none-any.whl,0
2026-08-23,v0.8.0,mcp_pjud-0.8.0.tar.gz,0
2026-08-23,v0.8.0,sbom.spdx.json,0
2026-08-23,v0.9.0,mcp_pjud-0.9.0-py3-none-any.whl,0
2026-08-23,v0.9.0,mcp_pjud-0.9.0.tar.gz,0
2026-08-23,v0.9.0,sbom.spdx.json,0
2026-08-24,v0.10.0,mcp_pjud-0.10.0-py3-none-any.whl,0
2026-08-24,v0.10.0,mcp_pjud-0.10.0.tar.gz,0
2026-08-24,v0.10.0,sbom.spdx.json,0
2026-08-24,v0.11.0,mcp_pjud-0.11.0-py3-none-any.whl,0
2026-08-24,v0.11.0,mcp_pjud-0.11.0.tar.gz,0
2026-08-24,v0.11.0,sbom.spdx.json,0
2026-08-24,v0.12.0,mcp_pjud-0.12.0-py3-none-any.whl,0
2026-08-24,v0.12.0,mcp_pjud-0.12.0.tar.gz,0
2026-08-24,v0.12.0,sbom.spdx.json,0
2026-08-24,v0.13.0,mcp_pjud-0.13.0-py3-none-any.whl,0
2026-08-24,v0.13.0,mcp_pjud-0.13.0.tar.gz,0
2026-08-24,v0.13.0,sbom.spdx.json,0
2026-08-24,v0.13.1,mcp_pjud-0.13.1-py3-none-any.whl,0
2026-08-24,v0.13.1,mcp_pjud-0.13.1.tar.gz,0
2026-08-24,v0.13.1,sbom.spdx.json,0
2026-08-24,v0.2.0,mcp_pjud-0.2.0-py3-none-any.whl,0
2026-08-24,v0.2.0,mcp_pjud-0.2.0.tar.gz,0
2026-08-24,v0.2.0,sbom.spdx.json,0
2026-08-24,v0.2.1,mcp_pjud-0.2.1-py3-none-any.whl,0
2026-08-24,v0.2.1,mcp_pjud-0.2.1.tar.gz,0
2026-08-24,v0.2.1,sbom.spdx.json,0
2026-08-24,v0.3.0,mcp_pjud-0.3.0-py3-none-any.whl,0
2026-08-24,v0.3.0,mcp_pjud-0.3.0.tar.gz,0
2026-08-24,v0.3.0,sbom.spdx.json,0
2026-08-24,v0.4.0,mcp_pjud-0.4.0-py3-none-any.whl,0
2026-08-24,v0.4.0,mcp_pjud-0.4.0.tar.gz,0
2026-08-24,v0.4.0,sbom.spdx.json,0
2026-08-24,v0.5.0,mcp_pjud-0.5.0-py3-none-any.whl,0
2026-08-24,v0.5.0,mcp_pjud-0.5.0.tar.gz,0
2026-08-24,v0.5.0,sbom.spdx.json,0
2026-08-24,v0.5.1,mcp_pjud-0.5.1-py3-none-any.whl,0
2026-08-24,v0.5.1,mcp_pjud-0.5.1.tar.gz,0
2026-08-24,v0.5.1,sbom.spdx.json,0
2026-08-24,v0.6.0,mcp_pjud-0.6.0-py3-none-any.whl,0
2026-08-24,v0.6.0,mcp_pjud-0.6.0.tar.gz,0
2026-08-24,v0.6.0,sbom.spdx.json,0
2026-08-24,v0.7.0,mcp_pjud-0.7.0-py3-none-any.whl,0
2026-08-24,v0.7.0,mcp_pjud-0.7.0.tar.gz,0
2026-08-24,v0.7.0,sbom.spdx.json,0
2026-08-24,v0.8.0,mcp_pjud-0.8.0-py3-none-any.whl,0
2026-08-24,v0.8.0,mcp_pjud-0.8.0.tar.gz,0
2026-08-24,v0.8.0,sbom.spdx.json,0
2026-08-24,v0.9.0,mcp_pjud-0.9.0-py3-none-any.whl,0
2026-08-24,v0.9.0,mcp_pjud-0.9.0.tar.gz,0
2026-08-24,v0.9.0,sbom.spdx.json,0
